source,target,weight
brillante,rcp,1072
cuerpo,final,1072
cuerpo,color,1071
año,francés,1071
brillante,tostado,1070
largo,balsámico,1070
alta,densa,1070
barrica,balsámico,1069
negro,madera,1068
granate,final,1067
regaliz,ribete,1067
acidez,recomendable,1066
barrica,uva,1066
crianza,uva,1066
pulido,capa,1065
entrada,toque,1061
correcto,fruta,1061
francés,americano,1060
tanino,garnacha,1060
rubí,nariz,1057
cuero,ribete,1057
volúmen,rcp,1056
rojo,americano,1055
largo,entrada,1054
fresco,crianza,1054
vainilla,tostado,1052
untuoso,capa,1052
bodega,color,1051
alta,volúmen,1050
rojo,sabroso,1050
excelente,fruta,1048
acidez,agradable,1048
tanino,botella,1047
año,bodega,1047
suave,picota,1045
picota,toque,1045
vainilla,crianza,1044
cereza,uva,1042
chocolate,fruta,1042
negro,garnacha,1039
boca,especiado,1038
seco,boca,1038
suave,rcp,1037
largo,limpio,1037
brillante,toque,1036
acidez,cuero,1036
picota,densa,1034
tanino,cuero,1034
limpio,entrada,1034
intenso,tempranillo,1033
barrica,fresco,1033
barrica,suave,1031
syrah,barrica,1027
coupage,rojo,1026
tempranillo,bodega,1026
agradable,color,1025
cacao,negro,1025
densa,ribete,1022
coupage,capa,1022
mineral,alta,1022
nota,elaborado,1020
roble,elaborado,1019
volúmen,negro,1019
lágrima,uva,1018
elaborado,rcp,1018
violáceo,ribete,1018
fruta,fondo,1017
dulce,ribete,1017
capa,baja,1016
limpio,rcp,1015
vainilla,rcp,1015
limpio,crianza,1015
suave,ribete,1014
picota,intensidad,1014
coupage,acidez,1014
elaborado,ribete,1014
lágrima,elaborado,1014
rubí,ribete,1013
tostado,seco,1011
rubí,capa,1008
año,roble,1008
americano,color,1006
rojo,seco,1006
integrada,fruta,1006
paladar,toque,1005
nariz,densa,1005
recomendable,color,1003
cuerpo,seco,1001
rcp,uva,1001
tanino,uva,1000
roble,volúmen,998
fina,toque,995
barrica,densa,994
granate,especia,994
alta,paladar,993
mora,negro,993
tanino,sabroso,991
untuoso,alta,990
monovarietal,color,988
untuoso,rcp,987
roble,uva,986
intenso,tostado,985
barrica,recomendable,985
barrica,regaliz,984
final,entrada,984
elegante,madura,984
bodega,garnacha,983
persistente,boca,981
año,color,980
tanino,elaborado,980
madura,garnacha,980
pulido,negro,979
americano,capa,978
crianza,balsámico,978
tanino,recomendable,978
francés,final,977
entrada,uva,977
rcp,garnacha,975
rubí,madura,975
acidez,ciruela,975
mineral,picota,974
año,negro,973
francés,fina,972
cereza,balsámico,972
ciruela,negro,972
tanino,agradable,971
sedoso,negro,971
granate,tostado,969
aroma,dulce,969
fruta,frutal,968
barrica,sedoso,968
picota,cacao,968
seco,negro,968
untuoso,tanino,968
rcp,balsámico,967
nota,dulce,967
color,ahumado,966
francés,persistencia,966
suave,nota,964
acidez,sabroso,963
entrada,tempranillo,961
cereza,elaborado,961
rojo,baja,961
picota,fresco,961
fresco,rcp,961
nariz,agradable,961
intensidad,balsámico,960
nueva,barrica,960
